,Name,Position,Age,Overall_Rating,Potential,Duration,Team,Value € M,Wage € K,Total_Stats,photo_link
9654,Abdullah Nahar Al Shammari,CM,20,52,64,2022 ~ 2023,Al Tai,0.18,2,1400,https://cdn.sofifa.net/players/271/337/23_180.png
9655,Ilyas Lefrancq,CAM,18,58,75,2022 ~ 2024,Mechelen,0.525,1,1446,https://cdn.sofifa.net/players/271/338/23_180.png
9656,Ibrahim Al Ali,LB,21,53,63,2021 ~ 2023,Al Tai,0.2,2,1357,https://cdn.sofifa.net/players/271/339/23_180.png
9657,William Sandford,CM,20,57,72,2022 ~ 2023,St. Johnstone,0.375,900,1482,https://cdn.sofifa.net/players/271/340/23_180.png
9658,Peter Makrillos,CM,26,60,61,2022 ~ 2023,GIF Sundsvall,0.3,650,1557,https://cdn.sofifa.net/players/271/341/23_180.png
9660,Denis Benga,LWB,16,55,73,2021 ~ 2025,Universitatea Craiova,0.3,500,1369,https://cdn.sofifa.net/players/271/181/23_180.png
9661,Cosmin Bucuroiu,CAM,18,54,69,2022 ~ 2027,Hermannstadt,0.25,500,1358,https://cdn.sofifa.net/players/271/183/23_180.png
9662,Ioan Tolea,CM,19,52,67,2022 ~ 2024,Petrolul 52,0.19,700,1525,https://cdn.sofifa.net/players/271/184/23_180.png
9663,Bogdan Filip,CM,22,53,62,2021 ~ 2024,Boto?ani,0.21,2,1475,https://cdn.sofifa.net/players/271/185/23_180.png
9664,?erban Tomache,GK,18,51,68,2022 ~ 2024,Boto?ani,0.13,500,860,https://cdn.sofifa.net/players/271/186/23_180.png
9665,Andrei Ioni??,ST,18,53,70,2022 ~ 2025,Rapid Bucuresti,0.24,800,1309,https://cdn.sofifa.net/players/271/187/23_180.png
9666,David Iordache,CM,17,51,69,2022 ~ 2025,Rapid Bucuresti,0.15,500,1464,https://cdn.sofifa.net/players/271/188/23_180.png
9667,Hristu Sofianu,CAM,18,51,67,2021 ~ 2024,U Craiova 1948,0.15,750,1299,https://cdn.sofifa.net/players/271/189/23_180.png
9668,C?t?lin Albu,CAM,18,51,66,2021 ~ 2024,U Craiova 1948,0.14,750,1385,https://cdn.sofifa.net/players/271/190/23_180.png
9669,Joe Whitworth,GK,18,53,72,2021 ~ 2027,Crystal Palace,0.21,600,858,https://cdn.sofifa.net/players/271/191/23_180.png
9670,Victor Akinwale,ST,17,56,76,2021 ~ 2023,Crystal Palace,0.4,2,1418,https://cdn.sofifa.net/players/271/192/23_180.png
9671,Antonio Gomis Alemañ,GK,19,63,78,2022 ~ 2025,Atlético Madrid,1,3,1032,https://cdn.sofifa.net/players/271/193/23_180.png
9672,Juan David Perea,RM,20,61,76,2022 ~ 2023,Leganés,0.8,2,1537,https://cdn.sofifa.net/players/271/194/23_180.png
9673,Elias Manoel,RW,20,62,73,2023 ~ 2024,New York RB,0.875,1,1545,https://cdn.sofifa.net/players/271/195/23_180.png
9674,Medon Berisha,CM,18,59,78,2022 ~ 2027,Lecce,0.575,950,1599,https://cdn.sofifa.net/players/271/198/23_180.png
9675,Giuseppe Ciocci,GK,22,54,61,2022 ~ 2027,Cagliari,0.19,500,844,https://cdn.sofifa.net/players/271/199/23_180.png
9676,Mattia Ciucci,CB,19,57,68,2022 ~ 2025,Lecce,0.325,1,1343,https://cdn.sofifa.net/players/271/204/23_180.png
9677,Luca Sonzogni,GK,17,55,70,2022 ~ 2025,Brescia,0.25,500,903,https://cdn.sofifa.net/players/271/210/23_180.png
9678,Jankat Y?lmaz,GK,17,57,75,2022 ~ 2025,Galatasaray,0.35,500,813,https://cdn.sofifa.net/players/271/211/23_180.png
9679,Christian Schmidt,CAM,20,52,61,2022 ~ 2023,Jahn Regensburg,0.18,2,1273,https://cdn.sofifa.net/players/271/212/23_180.png
9680,Bryant Nieling,CB,19,62,74,2022 ~ 2023,Fortuna Sittard,0.875,1,1363,https://cdn.sofifa.net/players/271/215/23_180.png
9681,Harvey Griffiths,CM,18,58,74,2021 ~ 2024,Wolverhampton Wanderers,0.5,3,1575,https://cdn.sofifa.net/players/271/216/23_180.png
9682,Mamadou Mbaye,CB,24,68,75,2017 ~ 2024,Cádiz,2.2,9,1500,https://cdn.sofifa.net/players/271/222/23_180.png
9683,Mamady Diarra,LB,22,66,76,2019 ~ 2023,Cádiz,1.9,7,1668,https://cdn.sofifa.net/players/271/223/23_180.png
9684,Harrison Sodje,CB,18,54,65,2022 ~ 2023,Leyton Orient,0.22,650,1423,https://cdn.sofifa.net/players/271/224/23_180.png
9685,Onel Acosta,LB,22,63,72,2022 ~ 2023,Deportivo Cali,1,750,1592,https://cdn.sofifa.net/players/271/225/23_180.png
9686,Finley Bell,CM,17,50,63,2021 ~ 2023,Forest Green Rovers,0.11,500,1431,https://cdn.sofifa.net/players/271/226/23_180.png
9687,Divin Mubama,ST,17,56,74,2021 ~ 2024,West Ham United,0.35,2,1446,https://cdn.sofifa.net/players/271/227/23_180.png
9688,Talha Ülvan,LB,21,57,65,2022 ~ 2025,Giresunspor,0.35,2,1461,https://cdn.sofifa.net/players/271/228/23_180.png
9689,Jack Carter,RB,17,52,64,2021 ~ 2023,Forest Green Rovers,0.17,500,1390,https://cdn.sofifa.net/players/271/229/23_180.png
9690,Murphy Bennett,CB,17,51,65,2022 ~ 2023,Forest Green Rovers,0.12,500,1310,https://cdn.sofifa.net/players/271/230/23_180.png
9691,Jacob Jones,LWB,20,55,64,2022 ~ 2023,Forest Green Rovers,0.275,1,1501,https://cdn.sofifa.net/players/271/234/23_180.png
9692,Owen Bevan,CB,18,57,69,2021 ~ 2026,AFC Bournemouth,0.35,2,1370,https://cdn.sofifa.net/players/271/235/23_180.png
9693,Noah Raveyre,GK,17,56,74,2022 ~ 2027,Saint-Étienne,0.325,500,872,https://cdn.sofifa.net/players/271/236/23_180.png
9694,Rakshit Dagar,GK,29,52,52,2022 ~ 2025,Jamshedpur,0.05,500,861,https://cdn.sofifa.net/players/271/239/23_180.png
9695,Muhammed Uvais,CB,23,55,59,2022 ~ 2025,Jamshedpur,0.17,500,1369,https://cdn.sofifa.net/players/271/240/23_180.png
9696,Mustafa Can Karagöz,CDM,20,57,66,2021 ~ 2025,Ümraniyespor,0.35,2,1585,https://cdn.sofifa.net/players/271/241/23_180.png
9697,Fatih Yi?it ?anl?türk,CAM,19,61,70,2022 ~ 2024,Ümraniyespor,0.7,1,1639,https://cdn.sofifa.net/players/271/243/23_180.png
9698,Mehdi Baaloudj,ST,21,53,60,2021 ~ 2024,Guingamp,0.19,1,1275,https://cdn.sofifa.net/players/271/244/23_180.png
9699,Manu Agro,GK,20,53,61,2022 ~ 2023,Sochaux,0.18,600,811,https://cdn.sofifa.net/players/271/245/23_180.png
9700,Muhammed Damar,CAM,18,63,78,2022 ~ 2026,TSG Hoffenheim,1.1,2,1605,https://cdn.sofifa.net/players/271/246/23_180.png
9701,Djamal Moussadek,CB,20,55,65,2022 ~ 2025,Le Havre,0.25,800,1228,https://cdn.sofifa.net/players/271/249/23_180.png
9702,Yoni Gomis,CB,16,53,79,2022 ~ 2027,Le Havre,0.35,500,1233,https://cdn.sofifa.net/players/271/250/23_180.png
9703,Hussain Furayj,CB,19,51,63,2022 ~ 2025,Al Khaleej,0.13,1,1209,https://cdn.sofifa.net/players/271/251/23_180.png
9704,Ali Al Shaefi,LB,20,52,64,2022 ~ 2023,Al Khaleej,0.18,1,1333,https://cdn.sofifa.net/players/271/253/23_180.png
9705,Hatim Al Najai,RB,21,51,61,2022 ~ 2023,Al Khaleej,0.13,1,1285,https://cdn.sofifa.net/players/271/254/23_180.png
9706,Ali Abdulraouf,ST,18,50,68,2022 ~ 2023,Al Khaleej,0.12,850,1278,https://cdn.sofifa.net/players/271/255/23_180.png
9707,Steve Ngoura,ST,17,54,76,2022 ~ 2025,Le Havre,0.35,500,1280,https://cdn.sofifa.net/players/271/256/23_180.png
9708,Élysée Logbo,ST,18,55,75,2022 ~ 2025,Le Havre,0.35,550,1343,https://cdn.sofifa.net/players/271/257/23_180.png
9709,Dany Jean,ST,19,62,76,2022 ~ 2025,Strasbourg,0.95,3,1545,https://cdn.sofifa.net/players/271/258/23_180.png
9710,Floris Smand,CB,19,62,71,2022 ~ 2024,SC Cambuur,0.8,900,1369,https://cdn.sofifa.net/players/271/260/23_180.png
9711,Alfie Bridgman,CAM,18,52,69,2022 ~ 2023,Portsmouth,0.2,700,1407,https://cdn.sofifa.net/players/271/262/23_180.png
9712,Raphaël Eyongo,CAM,19,59,70,2022 ~ 2023,Excelsior,0.5,850,1527,https://cdn.sofifa.net/players/271/263/23_180.png
9713,Monsuru Opeyemi,ST,18,63,73,2022 ~ 2024,Vizela,1,500,1691,https://cdn.sofifa.net/players/271/264/23_180.png
9714,Iván San José Cantalejo,CM,18,64,79,2021 ~ 2025,Real Valladolid,1.4,2,1550,https://cdn.sofifa.net/players/271/267/23_180.png
9715,Fredrik Pålerud,RB,28,61,61,2022 ~ 2024,Sandefjord,0.3,850,1533,https://cdn.sofifa.net/players/271/268/23_180.png
9720,Aske Adelgaard,LB,18,58,72,2022 ~ 2027,OB,0.45,600,1384,https://cdn.sofifa.net/players/271/080/23_180.png
9721,Maksim Stjopin,CAM,19,56,71,2022 ~ 2025,HJK,0.35,500,1380,https://cdn.sofifa.net/players/271/081/23_180.png
9722,Evan Haddock,CB,16,50,60,2022 ~ 2023,Drogheda United,0.09,500,1203,https://cdn.sofifa.net/players/271/082/23_180.png
9723,Thomas Rekdal,CM,21,58,69,2022 ~ 2025,Odd,0.45,750,1583,https://cdn.sofifa.net/players/271/083/23_180.png
9724,Dylan Molloy,RB,18,50,59,2022 ~ 2023,Drogheda United,0.09,500,1241,https://cdn.sofifa.net/players/271/084/23_180.png
9725,Ulrik Syversen,CB,19,53,68,2022 ~ 2022,Aalesund,0.21,500,1248,https://cdn.sofifa.net/players/271/085/23_180.png
9726,Ali Al Jassim,ST,21,51,60,2021 ~ 2027,Al Fateh,0.13,4,1261,https://cdn.sofifa.net/players/271/087/23_180.png
9727,Muhammet Taha Tepe,GK,21,61,71,2020 ~ 2027,Trabzonspor,0.65,3,1101,https://cdn.sofifa.net/players/271/089/23_180.png
9728,Nino Žugelj,RW,22,63,73,2022 ~ 2025,Bodø / Glimt,1.1,1,1519,https://cdn.sofifa.net/players/271/090/23_180.png
9729,Sean Jones-Carey,RWB,18,52,63,2022 ~ 2023,Shamrock Rovers,0.16,500,1312,https://cdn.sofifa.net/players/271/091/23_180.png
9730,Kailin Barlow,CAM,19,54,66,2021 ~ 2025,Sligo Rovers,0.25,500,1523,https://cdn.sofifa.net/players/271/093/23_180.png
9731,Bartosz ?uczak,CM,19,51,62,2022 ~ 2023,Piast Gliwice,0.13,900,1412,https://cdn.sofifa.net/players/271/095/23_180.png
9732,Jakub Niedba?a,CM,18,52,62,2022 ~ 2024,Piast Gliwice,0.17,550,1438,https://cdn.sofifa.net/players/271/096/23_180.png
9733,Stanis?aw Wawrzynowicz,CDM,23,59,65,2022 ~ 2025,Pogo? Szczecin,0.325,1,1509,https://cdn.sofifa.net/players/271/097/23_180.png
9734,Jakub Rajczykowski,GK,17,52,72,2022 ~ 2025,Raków Cz?stochowa,0.19,500,826,https://cdn.sofifa.net/players/271/100/23_180.png
9735,Igor Strza?ek,CAM,18,56,72,2022 ~ 2026,Legia Warszawa,0.35,600,1462,https://cdn.sofifa.net/players/271/101/23_180.png
9736,Oskar Lodzi?ski,GK,18,51,62,2022 ~ 2024,Wis?a P?ock,0.11,500,826,https://cdn.sofifa.net/players/271/102/23_180.png
9737,Wojciech ?aski,RWB,22,56,61,2022 ~ 2024,Jagiellonia Bia?ystok,0.2,1,1546,https://cdn.sofifa.net/players/271/103/23_180.png
9738,Mateusz Letkiewicz,CB,18,55,66,2022 ~ 2024,Mied? Legnica,0.25,500,1372,https://cdn.sofifa.net/players/271/104/23_180.png
9739,Pierre Bolchini,GK,23,62,70,2019 ~ 2024,Como,0.775,500,880,https://cdn.sofifa.net/players/271/105/23_180.png
9740,Devin Padelford,CB,19,50,60,2022 ~ 2024,Minnesota United,0.1,550,1301,https://cdn.sofifa.net/players/271/106/23_180.png
9741,Matthew Connelly,GK,19,52,69,2022 ~ 2024,Motherwell,0.18,500,840,https://cdn.sofifa.net/players/271/110/23_180.png
9742,Will Meyer,GK,24,54,58,2022 ~ 2022,Nashville SC,0.12,800,848,https://cdn.sofifa.net/players/271/111/23_180.png
9743,Gavin Beavers,GK,17,53,75,2022 ~ 2023,Real Salt Lake,0.275,500,813,https://cdn.sofifa.net/players/271/112/23_180.png
9744,Jude Wellings,CAM,16,50,69,2022 ~ 2025,Real Salt Lake,0.11,500,1320,https://cdn.sofifa.net/players/271/113/23_180.png
9745,Zac Guinan,ST,18,52,70,2022 ~ 2023,Cheltenham Town,0.2,600,1277,https://cdn.sofifa.net/players/271/115/23_180.png
9746,Noah Naujoks,ST,20,61,74,2023 ~ 2025,Excelsior,0.8,1,1664,https://cdn.sofifa.net/players/271/118/23_180.png
9747,Sergio Díez Roldán,CB,18,61,76,2022 ~ 2025,Atlético Madrid,0.725,2,1610,https://cdn.sofifa.net/players/271/123/23_180.png
9748,Derek Agyakwa,CB,20,57,64,2022 ~ 2024,Port Vale,0.3,1,1267,https://cdn.sofifa.net/players/271/124/23_180.png
9749,James Plant,CM,18,51,65,2023 ~ 2024,Port Vale,0.13,500,1299,https://cdn.sofifa.net/players/271/126/23_180.png
9750,Tao Sako,LB,19,54,64,2021 ~ 2023,Niort,0.22,550,1270,https://cdn.sofifa.net/players/271/127/23_180.png
9751,Marius Ros,RWB,20,60,69,2022 ~ 2024,Pau,0.525,650,1451,https://cdn.sofifa.net/players/271/128/23_180.png
9752,Jerry Lawrence,CM,17,52,66,2022 ~ 2024,Bristol Rovers,0.18,500,1454,https://cdn.sofifa.net/players/271/129/23_180.png
9753,Cristhian Ocampos,ST,22,64,72,2023 ~ 2023,Nacional Asunción,1.3,500,1468,https://cdn.sofifa.net/players/271/130/23_180.png
9754,Nawaf Al Suhaymi,LW,27,53,53,2022 ~ 2023,Al Batin,0.1,2,1407,https://cdn.sofifa.net/players/271/131/23_180.png
9755,Gilles Richard,CB,19,57,70,2022 ~ 2023,Sion,0.375,2,1316,https://cdn.sofifa.net/players/271/133/23_180.png
9756,Abdulaziz Al Yousef,ST,19,51,67,2022 ~ 2026,Al Adalah,0.15,2,1285,https://cdn.sofifa.net/players/271/134/23_180.png
9757,Pedro Henrique Rodrigues Bicalho,CDM,21,64,77,2022 ~ 2023,Santa Clara,1.4,1,1771,https://cdn.sofifa.net/players/271/135/23_180.png
9758,Tijany Atallah,RB,19,57,72,2022 ~ 2025,Bordeaux,0.375,700,1320,https://cdn.sofifa.net/players/271/136/23_180.png
9759,Lucas Rocrou,ST,19,56,67,2023 ~ 2024,Bordeaux,0.3,950,1414,https://cdn.sofifa.net/players/271/140/23_180.png
9760,Kyle Hiebert,CB,24,64,69,Free,Canada,0,0,1426,https://cdn.sofifa.net/players/271/143/23_180.png
9761,Billy van Duijl,CB,16,58,75,2022 ~ 2025,FC Volendam,0.475,500,1316,https://cdn.sofifa.net/players/271/147/23_180.png
9762,Imran Nazih,CAM,16,59,73,2022 ~ 2025,FC Volendam,0.525,500,1531,https://cdn.sofifa.net/players/271/148/23_180.png
9763,Kayne van Oevelen,GK,18,54,69,2022 ~ 2025,FC Volendam,0.22,500,841,https://cdn.sofifa.net/players/271/150/23_180.png
9764,Mohammed Furaih,CM,22,51,60,2019 ~ 2023,Al Batin,0.13,2,1307,https://cdn.sofifa.net/players/271/152/23_180.png
9765,Alexandru Petre,CM,17,51,65,2022 ~ 2024,Chindia Târgovi?te,0.13,500,1440,https://cdn.sofifa.net/players/271/153/23_180.png
9766,David Sala,CDM,17,53,73,2022 ~ 2024,Universitatea Craiova,0.24,500,1366,https://cdn.sofifa.net/players/271/154/23_180.png
9767,Kristall Máni Ingason,ST,20,62,75,2022 ~ 2026,Rosenborg,0.975,1,1641,https://cdn.sofifa.net/players/271/156/23_180.png
9768,Matty MacArthur,CAM,17,54,72,2022 ~ 2023,Gillingham,0.275,500,1359,https://cdn.sofifa.net/players/271/157/23_180.png
9769,Emmanuel Danso,CM,21,57,67,2022 ~ 2024,Strømsgodset,0.375,650,1469,https://cdn.sofifa.net/players/271/161/23_180.png
9770,Rare? Gal,GK,21,55,64,2022 ~ 2027,CFR Cluj,0.25,1,821,https://cdn.sofifa.net/players/271/164/23_180.png
9771,Roberto Voican,CM,19,53,66,2022 ~ 2023,Voluntari,0.22,1,1428,https://cdn.sofifa.net/players/271/166/23_180.png
9772,Alex Munteanu,LW,20,52,63,2022 ~ 2023,Voluntari,0.18,2,1340,https://cdn.sofifa.net/players/271/167/23_180.png
9773,Daniel Paraschiv,GK,19,53,64,2020 ~ 2023,Voluntari,0.17,650,862,https://cdn.sofifa.net/players/271/168/23_180.png
9774,Hamza Yi?it Akman,CM,17,61,79,2022 ~ 2024,Galatasaray,0.825,1,1646,https://cdn.sofifa.net/players/271/169/23_180.png
9775,Rare? Pop,LM,17,61,78,2022 ~ 2026,UTA Arad,0.825,500,1452,https://cdn.sofifa.net/players/271/172/23_180.png
9776,Ákos Nistor,CAM,17,55,72,2022 ~ 2024,Sepsi,0.325,500,1391,https://cdn.sofifa.net/players/271/175/23_180.png
9777,Alexandru Florescu,ST,20,52,61,2021 ~ 2023,Arge?,0.18,1,1307,https://cdn.sofifa.net/players/271/176/23_180.png
9778,Denis Ren?a,CDM,18,52,66,2022 ~ 2025,Sepsi,0.17,550,1375,https://cdn.sofifa.net/players/271/177/23_180.png
9779,Andre? Brînzea,GK,16,50,69,2022 ~ 2027,Chindia Târgovi?te,0.1,500,817,https://cdn.sofifa.net/players/271/179/23_180.png
9780,Alejandro Barbudo Lorenzo,CB,21,63,70,2022 ~ 2025,Mirandés,0.9,1,1373,https://cdn.sofifa.net/players/270/987/23_180.png
9781,Moritz Berg,CAM,18,56,69,2022 ~ 2024,Austria Klagenfurt,0.325,700,1521,https://cdn.sofifa.net/players/270/988/23_180.png
9782,Nikola Djori?,CB,22,61,68,2022 ~ 2027,Austria Klagenfurt,0.625,2,1354,https://cdn.sofifa.net/players/270/989/23_180.png
9783,Shaoziyang Liu,GK,18,58,72,2022 ~ 2025,Austria Klagenfurt,0.4,500,840,https://cdn.sofifa.net/players/270/990/23_180.png
9784,Martin Koscelnik,RWB,27,66,66,2022 ~ 2025,Rapid Wien,0.825,8,1704,https://cdn.sofifa.net/players/270/991/23_180.png
9785,Nicolas Binder,ST,20,60,69,2023 ~ 2026,Austria Klagenfurt,0.55,2,1461,https://cdn.sofifa.net/players/270/993/23_180.png
9786,Nikolas Sattlberger,CDM,18,58,74,2022 ~ 2025,Rapid Wien,0.5,1,1452,https://cdn.sofifa.net/players/270/995/23_180.png
9787,Adam Stejskal,GK,20,60,74,2022 ~ 2024,Salzburg,0.525,2,866,https://cdn.sofifa.net/players/270/996/23_180.png
9788,Samson Baidoo,CB,18,57,73,2022 ~ 2027,Salzburg,0.4,1,1348,https://cdn.sofifa.net/players/270/997/23_180.png
9789,Justin Omoregie,CM,18,58,78,2022 ~ 2027,Salzburg,0.55,1,1631,https://cdn.sofifa.net/players/271/000/23_180.png
9790,Cem Üstündag,CM,21,55,64,2022 ~ 2025,WSG Tirol,0.275,1,1508,https://cdn.sofifa.net/players/271/002/23_180.png
9791,Thomas Geris,ST,19,52,65,2022 ~ 2024,WSG Tirol,0.19,1,1270,https://cdn.sofifa.net/players/271/004/23_180.png
9792,Nik Prelec,ST,21,65,75,2023 ~ 2026,Cagliari,1.6,1,1491,https://cdn.sofifa.net/players/271/005/23_180.png
9793,Yeferson Paz,RM,20,64,77,"Jun 30, 2023",Perugia,1.3,5,1721,https://cdn.sofifa.net/players/271/006/23_180.png
9794,Leandro Frroku,CDM,18,55,73,2021 ~ 2024,Panathinaikos,0.3,500,1514,https://cdn.sofifa.net/players/271/008/23_180.png
9795,Nikoloz Kutateladze,CAM,21,60,68,2022 ~ 2024,Rodez,0.55,800,1513,https://cdn.sofifa.net/players/271/009/23_180.png
9796,Jocelyn Janneh,CDM,19,56,65,2022 ~ 2025,Bastia,0.3,500,1536,https://cdn.sofifa.net/players/271/010/23_180.png
9797,Ayush Dev Chhetri,CM,19,53,64,2022 ~ 2025,Goa,0.19,500,1396,https://cdn.sofifa.net/players/271/011/23_180.png
9798,Bhaskar Roy,GK,28,52,54,2022 ~ 2024,Mumbai City,0.07,500,852,https://cdn.sofifa.net/players/271/012/23_180.png
9799,Iroy Eckenfelder,RW,21,59,67,2022 ~ 2027,Annecy,0.5,800,1486,https://cdn.sofifa.net/players/271/015/23_180.png
9800,Dara Costelloe,RM,19,60,71,"Jun 30, 2023",Bradford City,0.525,4,1556,https://cdn.sofifa.net/players/271/018/23_180.png
9801,Rafael Mascarenhas Moreira,LW,20,58,66,2022 ~ 2025,APOEL,0.45,500,1380,https://cdn.sofifa.net/players/271/020/23_180.png
9802,Matias Flores,RM,19,55,63,2022 ~ 2023,Sol de América,0.275,500,1373,https://cdn.sofifa.net/players/271/024/23_180.png
9803,Fernando Díaz,LB,21,56,63,2022 ~ 2023,Sol de América,0.275,500,1359,https://cdn.sofifa.net/players/271/025/23_180.png
9804,Achraf Dari,CB,23,69,76,2022 ~ 2026,Brest,2.6,9,1548,https://cdn.sofifa.net/players/271/027/23_180.png
9805,Doug Tharme,CB,22,62,69,"Jun 30, 2023",Accrington Stanley,0.75,2,1312,https://cdn.sofifa.net/players/271/028/23_180.png
9806,Felix Eriksson,RB,18,51,71,2022 ~ 2026,IFK Göteborg,0.15,500,1282,https://cdn.sofifa.net/players/271/031/23_180.png
9807,Matte Smets,CDM,18,60,72,2022 ~ 2027,Sint-Truiden,0.525,650,1513,https://cdn.sofifa.net/players/271/032/23_180.png
9808,Andréa Librici,CDM,17,55,73,2022 ~ 2027,Sint-Truiden,0.325,500,1538,https://cdn.sofifa.net/players/271/033/23_180.png
9809,Antonio Leal Mateos,CB,23,64,74,2022 ~ 2023,Levante,1.2,2,1546,https://cdn.sofifa.net/players/271/036/23_180.png
9810,Hun Min Kim,RWB,21,52,60,2022 ~ 2027,Seongnam,0.17,600,1317,https://cdn.sofifa.net/players/271/038/23_180.png
9811,Neven Djurasek,CM,23,66,71,2022 ~ 2024,Shakhtar Donetsk,1.2,500,1772,https://cdn.sofifa.net/players/271/041/23_180.png
9812,Elias Aarflot,ST,18,53,70,2022 ~ 2025,Tromsø,0.24,500,1290,https://cdn.sofifa.net/players/271/045/23_180.png
9813,Niko Vukancic,CB,20,58,67,2022 ~ 2023,Fortuna Düsseldorf,0.425,2,1390,https://cdn.sofifa.net/players/271/046/23_180.png
9814,Alex Monis,RW,19,58,70,2020 ~ 2023,Chicago Fire,0.475,800,1439,https://cdn.sofifa.net/players/271/047/23_180.png
9815,Kendall Burks,LB,22,59,65,2022 ~ 2023,Chicago Fire,0.325,1,1381,https://cdn.sofifa.net/players/271/048/23_180.png
9816,Missael Rodríguez,ST,19,50,63,2022 ~ 2025,Chicago Fire,0.11,750,1265,https://cdn.sofifa.net/players/271/049/23_180.png
9817,Donatien Gomis,CB,27,64,66,2022 ~ 2025,Guingamp,0.625,2,1379,https://cdn.sofifa.net/players/271/050/23_180.png
9818,Sergio Oregel,CM,17,51,73,2022 ~ 2025,Chicago Fire,0.18,500,1381,https://cdn.sofifa.net/players/271/051/23_180.png
9819,Samuel Gomes Lobato,CDM,20,62,72,2021 ~ 2026,Famalicão,0.875,1,1618,https://cdn.sofifa.net/players/271/052/23_180.png
9820,Anthony Markanich,LM,22,58,66,2022 ~ 2022,Colorado Rapids,0.425,1,1318,https://cdn.sofifa.net/players/271/053/23_180.png
9821,Jackson Travis,LB,18,53,72,2022 ~ 2025,Colorado Rapids,0.23,500,1362,https://cdn.sofifa.net/players/271/055/23_180.png
9822,Gustavo Filipe Azevedo Sá,CM,17,63,78,2022 ~ 2027,Famalicão,1.1,500,1689,https://cdn.sofifa.net/players/271/057/23_180.png
9823,Tom Geerkens,CDM,21,57,67,2022 ~ 2023,Fortuna Düsseldorf,0.35,2,1497,https://cdn.sofifa.net/players/271/058/23_180.png
9824,Alessandro Lai,GK,21,54,62,2022 ~ 2025,Cosenza,0.21,500,889,https://cdn.sofifa.net/players/271/059/23_180.png
9825,Jeremy Garay,CM,19,50,64,2022 ~ 2024,DC United,0.11,550,1326,https://cdn.sofifa.net/players/271/060/23_180.png
9827,Tommy McDermott,CAM,17,55,66,2022 ~ 2023,Port Vale,0.25,500,1474,https://cdn.sofifa.net/players/271/065/23_180.png
9828,Hussain Habib,CM,22,53,61,2020 ~ 2023,Al Khaleej,0.21,2,1431,https://cdn.sofifa.net/players/271/067/23_180.png
9829,Noa Savignac,LM,19,59,73,2022 ~ 2027,Rodez,0.525,550,1464,https://cdn.sofifa.net/players/271/068/23_180.png
9830,Eyad Al Nasser,GK,19,51,62,2022 ~ 2025,Al Khaleej,0.11,650,875,https://cdn.sofifa.net/players/271/069/23_180.png
9831,Josh Blunkell,GK,18,52,61,2022 ~ 2024,Wycombe Wanderers,0.14,500,918,https://cdn.sofifa.net/players/271/070/23_180.png
9832,Rubén Lezcano,CM,18,61,77,2022 ~ 2023,Libertad,0.825,500,1556,https://cdn.sofifa.net/players/271/071/23_180.png
9833,Emre Topçu,CM,16,54,70,2022 ~ 2024,Drogheda United,0.275,500,1512,https://cdn.sofifa.net/players/271/072/23_180.png
9834,Stevan Stanic-Floody,LM,18,52,59,2022 ~ 2022,Drogheda United,0.15,500,1370,https://cdn.sofifa.net/players/271/074/23_180.png
9835,Nathaniel Adjei,RB,19,57,72,2022 ~ 2026,Hammarby,0.375,600,1354,https://cdn.sofifa.net/players/271/075/23_180.png
9836,Aridon Racaj,ST,17,53,73,2022 ~ 2024,Sarpsborg 08,0.25,500,1333,https://cdn.sofifa.net/players/271/076/23_180.png
9837,Elias Kringberg Haug,CB,16,52,75,2021 ~ 2024,Sarpsborg 08,0.24,500,1191,https://cdn.sofifa.net/players/271/077/23_180.png
9838,Nic Bollado,ST,17,51,67,2022 ~ 2023,Carlisle United,0.15,500,1371,https://cdn.sofifa.net/players/271/078/23_180.png
9840,Doru Andrei,CF,19,59,70,2022 ~ 2023,Voluntari,0.475,1,1495,https://cdn.sofifa.net/players/270/897/23_180.png
9841,Oscar Wiklöf,CM,19,60,72,2022 ~ 2024,Freiburg II,0.575,500,1560,https://cdn.sofifa.net/players/270/898/23_180.png
9842,Yohan Baï,RM,25,62,63,2022 ~ 2024,Bastia,0.475,1,1538,https://cdn.sofifa.net/players/270/903/23_180.png
9843,Mohammed Fuseini,ST,20,62,73,2022 ~ 2026,Sturm Graz,0.875,3,1536,https://cdn.sofifa.net/players/270/905/23_180.png
9844,Richmond Badu,GK,20,52,61,2020 ~ 2023,KV Oostende,0.15,900,780,https://cdn.sofifa.net/players/270/906/23_180.png
9845,Matteo Meisl,CB,21,62,71,2022 ~ 2026,Austria Wien,0.825,2,1408,https://cdn.sofifa.net/players/270/907/23_180.png
9846,Volkan Rona,LM,21,54,62,2022 ~ 2027,Waldhof Mannheim,0.24,800,1432,https://cdn.sofifa.net/players/270/908/23_180.png
9847,Filipe De Carvalho,LM,18,54,72,2022 ~ 2025,Grasshopper,0.275,700,1304,https://cdn.sofifa.net/players/270/909/23_180.png
9848,Saad Natiq,CDM,28,66,66,2022 ~ 2024,Abha,0.725,4,1394,https://cdn.sofifa.net/players/270/910/23_180.png
9849,Jan Jurcec,LM,21,64,71,2022 ~ 2024,Rheindorf Altach,1.1,2,1676,https://cdn.sofifa.net/players/270/911/23_180.png
9850,Alessandro Casciato,ST,22,56,65,2022 ~ 2023,Lugano,0.325,2,1386,https://cdn.sofifa.net/players/270/912/23_180.png
